420,1964,13,300
421,1964,14,38
422,1964,15,225
423,1964,16,57
424,1965,7,477
425,1965,8,95
426,1965,12,477
427,1965,13,299
428,1965,14,310
429,1965,15,98
430,1965,16,453
431,1966,7,211
432,1966,8,211
433,1966,10,212
434,1966,12,211
435,1966,13,33
436,1966,14,206
437,1966,15,409
438,1966,16,65
439,1967,8,131
440,1967,13,324
441,1967,14,85
442,1967,15,203
443,1967,16,445
444,1968,7,296
445,1968,8,274
446,1968,12,296
447,1968,13,280
448,1968,14,372
449,1968,15,345
450,1968,16,223
451,1969,7,492
452,1969,8,440
453,1969,12,492
454,1969,13,239
455,1969,14,38
456,1969,15,327
457,1969,16,420
458,1970,7,121
459,1970,8,165
460,1970,12,88
461,1970,13,36
462,1970,14,308
463,1970,15,152
464,1970,16,389
465,1971,7,219
466,1971,8,152
467,1971,12,160
468,1971,13,324
469,1971,14,120
470,1971,15,140
471,1971,16,424
472,1972,6,397
473,1972,7,242
474,1972,10,216
475,1972,11,209
476,1972,12,390
477,1972,13,32
478,1972,14,293
479,1972,15,48
480,1972,16,193
481,1973,6,259
482,1973,7,277
483,1973,8,248
484,1973,12,492
485,1973,13,23
486,1973,14,252
487,1973,15,345
488,1973,16,356
489,1974,6,299
490,1974,7,295
491,1974,8,238
492,1974,12,6
493,1974,13,120
494,1974,14,139
495,1974,15,485
496,1974,16,285
497,1975,6,281
498,1975,7,492
499,1975,8,249
500,1975,12,285
501,1975,13,157
502,1975,14,450
503,1975,15,84
504,1975,16,283
505,1976,6,461
506,1976,7,404
507,1976,8,36
508,1976,12,313
509,1976,13,243
510,1976,14,139
511,1976,15,140
512,1976,16,259
513,1977,6,345
514,1977,7,25
515,1977,8,36
516,1977,12,157
517,1977,13,421
518,1977,14,25
519,1977,15,423
520,1977,16,420
521,1978,4,385
522,1978,6,139
523,1978,7,139
524,1978,8,152
525,1978,12,71
526,1978,13,266
527,1978,14,139
528,1978,15,98
529,1978,16,101
530,1979,6,423
531,1979,7,492
532,1979,8,25
533,1979,10,271
534,1979,12,177
535,1979,13,25
536,1979,14,139
537,1979,15,421
538,1979,16,44
539,1980,2,139
